galaxy,n_pts,rmse_kms,v_flat_kms,g_bar_max_over_a0,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,quality_flag
UGC02023,5,11.2447,58.8000,0.0997,0.0000,0.3623,1.5464,1.0000,—
UGC06818,8,11.2666,74.4000,0.1189,0.0000,0.3883,1.5612,1.0000,—
UGC06446,17,11.3405,80.1000,0.1052,0.0000,0.7992,1.5276,1.0000,—
F574-1,14,11.4010,99.7000,0.1028,0.0000,0.3554,1.8399,1.0000,—
NGC3917,17,11.5312,137.0000,0.2469,0.0000,0.1793,2.1806,1.0000,—
NGC6195,23,11.5560,246.0000,8.1893,0.3080,0.1054,2.7113,0.4783,—
IC2574,34,11.5837,67.5000,0.0279,0.0000,0.6255,1.1738,1.0000,—
UGC00128,22,11.7537,125.0000,0.0932,0.0000,0.7070,1.4489,1.0000,—
NGC1090,24,12.0277,160.0000,1.2068,0.0000,0.2494,2.8877,0.9167,—
UGC05005,11,12.0904,99.1000,0.0639,0.0000,0.7722,1.4368,1.0000,—
DDO170,8,12.1014,62.2000,0.0345,0.0000,0.8470,0.5540,1.0000,—
ESO444-G084,7,12.1483,62.7000,0.0844,0.0000,0.8559,1.0187,1.0000,—
UGC08490,30,12.2495,77.6000,0.3274,0.0000,0.6648,2.0638,1.0000,—
UGC07577,9,12.2751,17.8000,0.0303,0.0000,0.4821,1.1297,1.0000,—
NGC3726,12,12.4491,167.0000,0.7311,0.0000,0.2329,2.3020,1.0000,—
UGC08837,8,12.4848,48.0000,0.0625,0.0000,0.5722,1.3417,1.0000,—
NGC0055,21,12.5450,86.5000,0.1281,0.0000,0.5770,1.5800,1.0000,—
UGC06983,17,12.6847,109.0000,0.2547,0.0000,0.6297,1.6704,1.0000,—
NGC2403,73,12.9926,134.0000,0.9758,0.0000,0.5437,3.0028,1.0000,—
NGC7331,36,13.0558,238.0000,6.3691,0.0511,0.1339,3.2293,0.6389,—
UGC05750,11,13.2625,78.9000,0.0382,0.0000,0.5358,1.3233,1.0000,—
UGC09992,5,13.3073,34.3000,0.0848,0.0000,0.5589,1.0095,1.0000,—
NGC5055,28,13.9802,172.0000,7.5521,0.0000,0.1862,3.3197,0.5714,—
NGC3972,10,14.0107,134.0000,0.3575,0.0000,0.1565,2.1936,1.0000,—
ESO116-G012,15,14.0372,112.0000,0.2795,0.0000,0.4463,2.2279,1.0000,—
UGC06614,13,14.1046,204.0000,3.6363,0.4540,0.2268,1.7445,0.9231,—
NGC4085,7,14.1187,136.0000,1.3833,0.0000,0.0581,2.6624,0.5714,—
UGC08286,17,14.1622,84.3000,0.0985,0.0000,0.5776,1.7220,1.0000,—
CamB,9,14.4808,20.1000,0.0513,0.0000,0.3480,1.3760,1.0000,—
DDO161,31,15.5981,66.1000,0.0877,0.0000,0.8952,1.4423,1.0000,—
NGC2955,24,15.6769,227.0000,7.1604,0.2577,0.1320,3.0693,0.3333,—
UGC02259,8,16.8406,90.0000,0.0937,0.0000,0.5309,1.4884,1.0000,—
NGC4138,7,17.1018,150.0000,3.0141,0.2232,0.0803,1.7695,0.7143,—
F567-2,5,17.2270,52.2000,0.0324,0.0000,0.5179,1.0212,1.0000,—
NGC2683,11,17.3298,151.0000,2.4528,0.0854,0.0455,2.1753,0.8182,—
UGC03580,47,18.1265,124.0000,4.9060,0.1996,0.3244,2.7778,0.5957,—
UGC06667,9,18.5252,85.7000,0.0359,0.0000,0.7004,0.9391,1.0000,—
ESO079-G014,15,18.5531,178.0000,0.3149,0.0000,0.1257,2.4541,1.0000,—
NGC3877,13,18.6901,169.0000,1.5974,0.0000,0.0433,2.6749,0.8462,—
NGC4214,14,18.9403,80.6000,0.7026,0.0000,0.2509,2.2800,1.0000,—
NGC3521,41,19.0229,206.0000,10.0450,0.0000,0.0377,3.6398,0.1220,—
NGC3893,10,19.0493,167.0000,3.1947,0.0000,0.1908,2.5159,0.7000,—
NGC0289,28,19.4461,165.0000,2.8648,0.0000,0.5807,2.8355,0.8214,—
UGC11455,36,19.4609,266.0000,1.4290,0.0000,0.0637,3.1441,0.4167,—
NGC6015,44,19.4726,152.0000,0.8589,0.0000,0.3857,2.8663,1.0000,—
UGC01230,11,19.6899,103.0000,0.1023,0.0000,0.7596,1.6353,1.0000,—
NGC1705,14,19.8976,71.5000,0.7110,0.0000,0.4634,1.9245,1.0000,—
PGC51017,6,20.0431,18.3000,0.0849,0.0000,0.6155,1.1396,1.0000,✗
UGC05721,23,20.1139,79.5000,0.5283,0.0000,0.7115,2.4900,1.0000,✗
UGC04325,8,20.4209,91.5000,0.1440,0.0000,0.4296,1.7860,1.0000,✗
UGC05986,15,20.5932,107.0000,0.2378,0.0000,0.3109,2.0863,1.0000,✗
F563-1,17,20.6886,106.0000,0.0476,0.0000,0.7911,1.3103,1.0000,✗
NGC5005,18,21.0391,265.0000,24.6357,0.1451,0.0680,3.4603,0.0556,✗
NGC4088,12,21.5773,174.0000,1.4982,0.0000,0.1641,2.8149,0.6667,✗
NGC2915,30,22.0904,86.5000,0.8029,0.0000,0.6786,1.9594,1.0000,✗
UGC02916,43,22.1065,181.0000,9.3590,0.5898,0.1562,2.3024,0.4186,✗
