galaxy,n_points,rmse_kms,v_flat_kms,g_bar_max_over_a0,g_bar_min_over_a0,lam_opt,a0,ml_disk,ml_bul
NGC4013,36,8.0052,170.00,1.2506,0.057963,0.000000,1.210000e-10,0.5,0.7
NGC4051,7,11.0377,153.00,2.1982,0.347456,0.000000,1.210000e-10,0.5,0.7
NGC4068,6,9.4159,41.90,0.0819,0.030915,0.000000,1.210000e-10,0.5,0.7
NGC4085,7,14.1187,136.00,1.3833,0.445283,0.000000,1.210000e-10,0.5,0.7
NGC4088,12,21.5773,174.00,1.4982,0.176324,0.000000,1.210000e-10,0.5,0.7
NGC4100,24,22.2361,159.00,0.8657,0.083029,0.000000,1.210000e-10,0.5,0.7
NGC4138,7,17.1018,150.00,3.0141,0.089152,0.000000,1.210000e-10,0.5,0.7
NGC4157,17,7.0854,185.00,1.9589,0.088988,0.000000,1.210000e-10,0.5,0.7
NGC4183,23,8.3057,113.00,0.2380,0.031767,0.000000,1.210000e-10,0.5,0.7
NGC4214,14,18.9403,80.60,0.7026,0.030955,0.000000,1.210000e-10,0.5,0.7
NGC4217,19,40.9385,178.00,5.2488,0.254495,0.000000,1.210000e-10,0.5,0.7
NGC4389,6,35.5542,110.00,1.1579,0.519392,0.000000,1.210000e-10,0.5,0.7
NGC4559,32,10.2067,119.00,0.6953,0.061287,0.000000,1.210000e-10,0.5,0.7
NGC5005,18,21.0391,265.00,24.6357,0.947967,0.000000,1.210000e-10,0.5,0.7
NGC5033,22,22.4333,196.00,20.5753,0.047098,0.000000,1.210000e-10,0.5,0.7
NGC5055,28,13.9802,172.00,7.5521,0.037865,0.000000,1.210000e-10,0.5,0.7
NGC5371,19,31.0872,213.00,5.3597,0.107945,0.000000,1.210000e-10,0.5,0.7
NGC5585,24,5.7101,89.40,0.3905,0.040646,0.000000,1.210000e-10,0.5,0.7
NGC5907,19,24.6821,214.00,0.8516,0.063266,0.000000,1.210000e-10,0.5,0.7
NGC5985,33,90.1609,285.00,1.1727,0.149706,0.000000,1.210000e-10,0.5,0.7
NGC6015,44,19.4726,152.00,0.8589,0.035785,0.000000,1.210000e-10,0.5,0.7
NGC6195,23,11.5560,246.00,8.1893,0.222220,0.000000,1.210000e-10,0.5,0.7
NGC6503,31,7.3944,115.00,1.3468,0.020953,0.000000,1.210000e-10,0.5,0.7
NGC6674,15,40.9695,242.00,3.0157,0.032543,0.000000,1.210000e-10,0.5,0.7
NGC6946,58,8.3791,154.00,54.0690,0.116752,0.000000,1.210000e-10,0.5,0.7
NGC7331,36,13.0558,238.00,6.3691,0.135465,0.000000,1.210000e-10,0.5,0.7
NGC7793,46,8.9326,90.80,0.9037,0.108844,0.000000,1.210000e-10,0.5,0.7
NGC7814,18,35.2747,214.00,35.8008,0.154882,0.000000,1.210000e-10,0.5,0.7
PGC51017,6,20.0431,18.30,0.0849,0.022634,0.000000,1.210000e-10,0.5,0.7
UGC00128,22,11.7537,125.00,0.0932,0.008574,0.000000,1.210000e-10,0.5,0.7
UGC00191,9,8.3730,83.85,0.1264,0.044204,0.000000,1.210000e-10,0.5,0.7
UGC00731,12,10.8753,73.90,0.0405,0.009188,0.000000,1.210000e-10,0.5,0.7
UGC00891,5,5.9156,63.75,0.0482,0.020965,0.000000,1.210000e-10,0.5,0.7
UGC01230,11,19.6899,103.00,0.1023,0.015068,0.000000,1.210000e-10,0.5,0.7
UGC01281,25,2.5502,56.90,0.0440,0.000000,0.000000,1.210000e-10,0.5,0.7
UGC02023,5,11.2447,58.80,0.0997,0.054390,0.000000,1.210000e-10,0.5,0.7
UGC02259,8,16.8406,90.00,0.0937,0.040262,0.000000,1.210000e-10,0.5,0.7
UGC02455,8,33.7357,61.00,0.5686,0.200339,0.000000,1.210000e-10,0.5,0.7
UGC02487,17,86.3759,333.00,1.6947,0.055508,0.000000,1.210000e-10,0.5,0.7
UGC02885,19,31.0646,298.00,8.4651,0.076384,0.000000,1.210000e-10,0.5,0.7
UGC02916,43,22.1065,181.00,9.3590,0.100761,0.000000,1.210000e-10,0.5,0.7
UGC02953,115,44.5900,272.00,30.5843,0.044807,0.000000,1.210000e-10,0.5,0.7
UGC03205,48,37.3574,220.00,7.2128,0.056916,0.000000,1.210000e-10,0.5,0.7
UGC03546,30,27.4387,193.00,46.5499,0.084491,0.000000,1.210000e-10,0.5,0.7
UGC03580,47,18.1265,124.00,4.9060,0.023763,0.000000,1.210000e-10,0.5,0.7
UGC04278,25,9.2283,92.80,0.0895,0.016051,0.000000,1.210000e-10,0.5,0.7
UGC04305,22,23.6435,33.00,0.1036,0.021126,0.000000,1.210000e-10,0.5,0.7
UGC04325,8,20.4209,91.50,0.1440,0.087278,0.000000,1.210000e-10,0.5,0.7
UGC04483,8,4.1623,24.20,0.0686,0.032826,0.000000,1.210000e-10,0.5,0.7
UGC04499,9,5.6849,74.30,0.1306,0.052055,0.000000,1.210000e-10,0.5,0.7
UGC05005,11,12.0904,99.10,0.0639,0.017374,0.000000,1.210000e-10,0.5,0.7
UGC05253,73,22.1547,218.00,36.6759,0.053424,0.000000,1.210000e-10,0.5,0.7
UGC05414,6,5.1571,61.40,0.1073,0.072413,0.000000,1.210000e-10,0.5,0.7
UGC05716,12,5.3499,74.70,0.0645,0.019077,0.000000,1.210000e-10,0.5,0.7
UGC05721,23,20.1139,79.50,0.5283,0.030865,0.000000,1.210000e-10,0.5,0.7
UGC05750,11,13.2625,78.90,0.0382,0.007950,0.000000,1.210000e-10,0.5,0.7
UGC05764,10,9.7581,49.90,0.0501,0.016353,0.000000,1.210000e-10,0.5,0.7
UGC05829,11,6.2331,68.60,0.0572,0.009760,0.000000,1.210000e-10,0.5,0.7
UGC05918,8,3.5993,44.50,0.0269,0.017215,0.000000,1.210000e-10,0.5,0.7
UGC05986,15,20.5932,107.00,0.2378,0.055526,0.000000,1.210000e-10,0.5,0.7
UGC05999,5,8.9728,100.00,0.0713,0.036629,0.000000,1.210000e-10,0.5,0.7
UGC06399,9,6.9980,87.60,0.0869,0.050964,0.000000,1.210000e-10,0.5,0.7
UGC06446,17,11.3405,80.10,0.1052,0.034803,0.000000,1.210000e-10,0.5,0.7
UGC06614,13,14.1046,204.00,3.6363,0.036764,0.000000,1.210000e-10,0.5,0.7
UGC06628,7,29.6021,42.30,0.1051,0.071624,0.000000,1.210000e-10,0.5,0.7
UGC06667,9,18.5252,85.70,0.0359,0.007371,0.000000,1.210000e-10,0.5,0.7
UGC06786,45,45.5979,211.00,19.9705,0.048475,0.000000,1.210000e-10,0.5,0.7
UGC06787,71,42.2215,255.00,60.6618,0.058802,0.000000,1.210000e-10,0.5,0.7
UGC06818,8,11.2666,74.40,0.1189,0.039945,0.000000,1.210000e-10,0.5,0.7
UGC06917,11,9.3195,111.00,0.2435,0.081094,0.000000,1.210000e-10,0.5,0.7
UGC06923,6,5.0871,81.10,0.3940,0.119157,0.000000,1.210000e-10,0.5,0.7
